Site,Total number of participants
Today's Family - GL Armstrong,11
Today's Family - GL Armstrong,10
Today's Family - Holy Trinity,40
Today's Family - Lakewood,19
Today's Family - RA Riddell,26
Today's Family - RA Riddell,19
Today's Family - RA Riddell,20
Today's Family - RA Riddell,20
Today's Family - St. Augustine,28
Today's Family - St. Augustine,20
Today's Family - St. Augustine,20
Today's Family - St. Augustine,26
Today's Family - St. Augustine,20
Today's Family - Tiffany Hills,15
Today's Family - Tiffany Hills,12
Today's Family - Tiffany Hills,12
Today's Family - Tiffany Hills,13
Today's Family - Tiffany Hills,9
YMCA-BTB - Emily C General,30
YMCA-BTB - Prince of Wales,28
YMCA-BTB - Prince of Wales,28
YMCA-BTB - Prince of Wales,26
YMCA-BTB - Prince of Wales,27
YMCA-BTB - Warwick Town House,20
YMCA-BTB - Warwick Town House,20
YMCA-BTB - Warwick Town House,20
YMCA-BTB - Warwick Town House,16
YMCA-Kinder Connection - Allan A Greenleaf,22
YMCA-Kinder Connection - Allan A Greenleaf,26
YMCA-Kinder Connection - Allan A Greenleaf,20
YMCA-Kinder Connection - Allan A Greenleaf,14
YMCA-Kinder Connection - Bellview YMCA,24
YMCA-Kinder Connection - Central Public YMCA,24
YMCA-Kinder Connection - Chedoke School,19
YMCA-Kinder Connection - Chedoke School,20
YMCA-Kinder Connection - Chedoke School,18
YMCA-Kinder Connection - Chedoke School,14
YMCA-Kinder Connection - Chedoke School,18
YMCA-Kinder Connection - Edith Monture YMCA,22
YMCA-Kinder Connection - Frontenac School,26
YMCA-Kinder Connection - Frontenac School,20
YMCA-Kinder Connection - Frontenac School,20
YMCA-Kinder Connection - Frontenac School,
YMCA-Kinder Connection - Frontenac School,
YMCA-Kinder Connection - Our Lady of Providence YMCA,22
YMCA-Kinder Connection - Queen Victoria School,26
YMCA-Kinder Connection - Queen Victoria School,26
YMCA-Kinder Connection - Queen Victoria School,26
YMCA-Kinder Connection - Sir William Osler School,26
YMCA-Kinder Connection - Sir William Osler School,22
YMCA-Kinder Connection - Sir William Osler School,14
YMCA-Kinder Connection - Spring Valley School,26
YMCA-Kinder Connection - Spring Valley School,26
YMCA-Kinder Connection - Spring Valley School,26
YMCA-Kinder Connection - Spring Valley School,23
YMCA-Kinder Connection - Spring Valley School,20
YMCA-Kinder Connection - St. Christophers School,26
YMCA-Kinder Connection - St. Christophers School,26
YMCA-Kinder Connection - St. Christophers School,26
YMCA-Kinder Connection - St. Christophers School,20
YMCA-Kinder Connection - St. Christophers School,
YMCA-Kinder Connection - St. Timothy's School,25
YMCA-Kinder Connection - St. Timothy's School,22
YMCA-Kinder Connection - St. Timothy's School,24
YMCA-Kinder Connection - St. Timothy's School,26
YMCA-Kinder Connection - St. Timothy's School,25
YMCA-Kinder Connection - St. Timothy's School,24
YMCA-Kinder Connection - St. Timothy's School ,26
YMCA-Kinder Connection - St. Timothy's School ,26
YMCA-Kinder Connection - St. Timothy's School ,25
YMCA-Kinder Connection - St. Timothy's School ,20
